iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TLS,Asia,Timor,26/05/2021,6245,429,185.143,14,1,0.429,4736.651,325.384,140.425,10.619,0.758,0.325,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,76.39,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
COM,Africa,Comoros,26/05/2021,3879,4,2.143,146,0,0,4460.697,4.6,2.464,167.894,0,0,1.05,,,,,,,,,,,,,,,,,,80023,43140,36883,,4366,9.2,4.96,4.24,5021,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
MRT,Africa,Mauritania,26/05/2021,19287,36,47.143,461,1,0.571,4148.045,7.743,10.139,99.147,0.215,0.123,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546
PAK,Asia,Pakistan,26/05/2021,911302,2726,2987.286,20540,75,79,4125.548,12.341,13.524,92.986,0.34,0.358,0.88,,,,,,,,,59076,12943620,58.597,0.267,55897,0.253,0.053,18.7,tests performed,,,,,179478,,,,813,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
KEN,Africa,Kenya,26/05/2021,169356,431,424.857,3097,10,8.857,3149.561,8.015,7.901,57.596,0.186,0.165,0.97,,,,,,,,,,,,,,,,,,960379,960379,,2575,2112,1.79,1.79,,39,,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
GHA,Africa,Ghana,26/05/2021,93711,0,36.429,783,0,0,3015.839,0,1.172,25.199,0,0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
UZB,Asia,Uzbekistan,26/05/2021,99064,215,254.857,684,2,1.429,2959.856,6.424,7.615,20.437,0.06,0.043,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72
CMR,Africa,Cameroon,26/05/2021,77982,249,79,1270,31,11.571,2937.633,9.38,2.976,47.842,1.168,0.436,0.38,,,,,,,,,,,,,,,,,,64829,56583,8246,,2353,0.24,0.21,0.03,89,,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
DZA,Africa,Algeria,26/05/2021,127646,285,250,3440,7,6.429,2910.9,6.499,5.701,78.447,0.16,0.147,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
KOR,Asia,South Korea,26/05/2021,138311,629,599.143,1943,3,3.857,2697.741,12.269,11.686,37.898,0.059,0.075,0.97,,,,,,,,,32760,9508389,185.46,0.639,26320,0.513,0.023,43.9,people tested,6043663,4030744,2012919,155671,144216,11.79,7.86,3.93,2813,,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
MMR,Asia,Myanmar,26/05/2021,143318,22,22.714,3216,0,0,2634.048,0.404,0.417,59.107,0,0,1.44,,,,,,,,,1129,2614678,48.055,0.021,1186,0.022,0.019,52.2,samples tested,,,,,,,,,,,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
ZWE,Africa,Zimbabwe,26/05/2021,38819,113,29.571,1589,2,0.857,2611.8,7.603,1.99,106.91,0.135,0.058,1.38,,,,,,,,,1629,542397,36.493,0.11,1725,0.116,0.017,58.3,tests performed,937040,643531,293509,9050,13194,6.3,4.33,1.97,888,,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
DMA,North America,Dominica,26/05/2021,184,0,0,,,0,2555.875,0,0,,,0,0.06,,,,,,,,,,,,,,,,,,36449,19634,16815,,279,50.63,27.27,23.36,3875,31.48,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742
EGY,Africa,Egypt,26/05/2021,257275,1151,1148.143,14850,43,50.286,2514.062,11.247,11.22,145.112,0.42,0.491,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
GMB,Africa,Gambia,26/05/2021,5978,0,1.714,178,0,0.429,2473.658,0,0.709,73.655,0,0.177,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
SEN,Africa,Senegal,26/05/2021,41181,23,36.571,1135,1,1,2459.458,1.374,2.184,67.786,0.06,0.06,1.16,,,,,,,,,1102,522468,31.203,0.066,1347,0.08,0.027,36.8,tests performed,513332,444007,69325,,3652,3.07,2.65,0.41,218,,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
ETH,Africa,Ethiopia,26/05/2021,270180,398,369,4108,15,10,2350.136,3.462,3.21,35.733,0.13,0.087,0.76,,,,,,,,,5027,2701090,23.495,0.044,4953,0.043,0.075,13.4,tests performed,1738550,1738550,,21069,33832,1.51,1.51,,294,,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
MOZ,Africa,Mozambique,26/05/2021,70651,15,20.286,834,1,0.857,2260.439,0.48,0.649,26.683,0.032,0.027,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
COG,Africa,Congo,26/05/2021,11658,0,26,153,0,0.429,2112.687,0,4.712,27.727,0,0.078,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
RWA,Africa,Rwanda,26/05/2021,26817,37,56.143,350,1,0.286,2070.458,2.857,4.335,27.022,0.077,0.022,0.71,,,,,,,,,4840,1414886,109.239,0.374,4840,0.374,0.012,86.2,samples tested,,,,,,,,,,,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543
THA,Asia,Thailand,26/05/2021,137894,2455,2992.143,873,41,27.857,1975.559,35.172,42.867,12.507,0.587,0.399,1.14,,,,,,,,,,,,,,,,,,3208882,2214721,994161,61655,95538,4.6,3.17,1.42,1369,,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
GNB,Africa,Guinea-Bissau,26/05/2021,3753,0,1,68,0,0,1907.014,0,0.508,34.553,0,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
BTN,Asia,Bhutan,26/05/2021,1464,41,20.286,1,0,0,1897.327,53.136,26.29,1.296,0,0,1.34,,,,,,,,,,,,,4696,6.086,0.004,231.5,samples tested,482673,482673,,28,66,62.55,62.55,,86,,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
MWI,Africa,Malawi,26/05/2021,34304,9,9.429,1154,0,0.143,1793.209,0.47,0.493,60.324,0,0.007,0.85,,,,,,,,,,344647,18.016,,,,,,samples tested,347638,347638,,1832,1545,1.82,1.82,,81,,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
CIV,Africa,C?te d'Ivoire,26/05/2021,47085,49,44,301,3,0.429,1784.992,1.858,1.668,11.411,0.114,0.016,1.05,,,,,,,,,,,,,,,,,,,,,,17302,,,,656,,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
GIN,Africa,Guinea,26/05/2021,23080,20,28.714,160,0,1,1757.433,1.523,2.186,12.183,0,0.076,0.91,,,,,,,,,,,,,,,,,,302356,218711,83645,16432,9643,2.3,1.67,0.64,734,,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
AFG,Asia,Afghanistan,26/05/2021,67743,840,517.286,2855,19,13.286,1740.197,21.578,13.288,73.34,0.488,0.341,1.49,,,,,,,,,,,,,,,,,,590454,479372,111082,,6768,1.52,1.23,0.29,174,,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
PNG,Oceania,Papua New Guinea,26/05/2021,15368,146,104.143,159,3,2.571,1717.666,16.318,11.64,17.771,0.335,0.287,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
TGO,Africa,Togo,26/05/2021,13396,12,13.857,125,0,0,1618.121,1.449,1.674,15.099,0,0,0.8,,,,,,,,,690,330159,39.88,0.083,771,0.093,0.018,55.6,tests performed,304630,276000,28630,,3181,3.68,3.33,0.35,384,,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
KHM,Asia,Cambodia,26/05/2021,26989,660,529.571,190,7,4.429,1614.274,39.476,31.675,11.364,0.419,0.265,1.11,,,,,,,,,4710,1123688,67.21,0.282,5573,0.333,0.095,10.5,tests performed,4113384,2362101,1751283,108011,87071,24.6,14.13,10.47,5208,,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594
HKG,Asia,Hong Kong,26/05/2021,11836,1,1.286,210,0,0,1578.767,0.133,0.171,28.011,0,0,,,,,,,,,,,,,,,,,,,2224185,1289822,934363,24077,28232,29.67,17.2,12.46,3766,,7496988,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
MDG,Africa,Madagascar,26/05/2021,41061,62,96.571,817,7,5.714,1482.827,2.239,3.487,29.504,0.253,0.206,0.65,,,,,,,,,,,,,,,,,,21912,21912,,,2115,0.08,0.08,,76,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
CAF,Africa,Central African Rep.,26/05/2021,7083,4,10.429,97,0,0.143,1466.531,0.828,2.159,20.084,0,0.03,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397
GRD,North America,Grenada,26/05/2021,161,0,0,1,0,0,1430.869,0,0,8.887,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
TJK,Asia,Tajikistan,26/05/2021,13308,0,0,90,0,0,1395.313,0,0,9.436,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
SYR,Asia,Syria,26/05/2021,24315,63,61.571,1750,5,5.143,1389.376,3.6,3.518,99.996,0.286,0.294,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
HTI,North America,Haiti,26/05/2021,14037,131,62.714,292,4,2.286,1231.042,11.489,5.5,25.608,0.351,0.2,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51
AUS,Oceania,Australia,26/05/2021,30063,17,9.714,910,0,0,1178.947,0.667,0.381,35.686,0,0,1.31,,,,,,,,,61494,17988148,705.421,2.412,44163,1.732,0,4546.3,tests performed,3795280,3322398,472882,104658,73775,14.88,13.03,1.85,2893,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
KNA,North America,Saint Kitts and Nevis,26/05/2021,60,0,2.143,,,0,1127.989,0,40.285,,,0,,,,,,,,,,,,,,,,,,,,,,,740,,,,13912,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779
ERI,Africa,Eritrea,26/05/2021,3988,40,14.429,14,0,0,1124.512,11.279,4.068,3.948,0,0,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
NIC,North America,Nicaragua,26/05/2021,7324,0,18.714,186,0,0.143,1105.584,0,2.825,28.077,0,0.022,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
MUS,Africa,Mauritius,26/05/2021,1332,21,6.286,17,0,0,1047.362,16.512,4.943,13.367,0,0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
AGO,Africa,Angola,26/05/2021,33338,405,271.429,742,7,6.571,1014.353,12.323,8.259,22.576,0.213,0.2,1.12,,,,,,,,,,,,,,,,,,859979,663049,196930,,21876,2.62,2.02,0.6,666,,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
UGA,Africa,Uganda,26/05/2021,44281,207,169.571,359,1,1.286,968.081,4.525,3.707,7.849,0.022,0.028,1.56,,,,,,,,,,,,,,,,,,,565163,,,,,1.24,,,,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
SSD,Africa,S. Sudan,26/05/2021,10677,0,3.571,115,0,0,953.838,0,0.319,10.274,0,0,0.61,,,,,,,,,,164472,14.693,,456,0.041,0.008,127.7,tests performed,8606,8606,,,262,0.08,0.08,,23,,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
SOM,Africa,Somalia,26/05/2021,14632,0,8.143,767,0,0.714,920.644,0,0.512,48.26,0,0.045,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
NGA,Africa,Nigeria,26/05/2021,166146,48,42,2071,0,0.571,805.988,0.233,0.204,10.047,0,0.003,0.95,,,,,,,,,,,,,,,,,,1953870,1938611,15259,14133,10440,0.95,0.94,0.01,51,,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
SDN,Africa,Sudan,26/05/2021,34889,0,0,2600,0,22,795.658,0,0,59.294,0,0.502,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
MLI,Africa,Mali,26/05/2021,14256,4,5,514,0,0.286,703.971,0.198,0.247,25.382,0,0.014,0.46,,,,,,,,,,,,,,,,,,110140,83549,26591,,3363,0.54,0.41,0.13,166,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434
BEN,Africa,Benin,26/05/2021,8058,33,4.714,101,0,0,664.676,2.722,0.389,8.331,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BFA,Africa,Burkina Faso,26/05/2021,13419,3,1.714,166,0,0.143,641.957,0.144,0.082,7.941,0,0.007,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
NZL,Oceania,New Zealand,26/05/2021,2670,1,1.571,26,0,0,553.685,0.207,0.326,5.392,0,0,0.82,,,,,,,,,4778,2116680,438.942,0.991,3723,0.772,0,2369.8,tests performed,,,,,,,,,,,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
BRN,Asia,Brunei,26/05/2021,240,4,0.714,3,0,0,548.593,9.143,1.633,6.857,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
SLE,Africa,Sierra Leone,26/05/2021,4121,0,2,79,0,0,516.611,0,0.251,9.903,0,0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
