iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
LTU,Europe,Lithuania,26/05/2021,272231,549,637.429,4220,11,12,100000.698,201.668,234.152,1550.165,4.041,4.408,0.73,,,,,,,,,26519,3417133,1255.242,9.741,19466,7.151,0.033,30.3,tests performed,1529375,973800,555575,28419,19671,56.18,35.77,20.41,7226,66.67,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882
EST,Europe,Estonia,26/05/2021,129014,185,179.571,1242,1,1.429,97256.093,139.461,135.368,936.271,0.754,1.077,0.69,,,,,,,,,3915,1414416,1066.245,2.951,4089,3.082,0.044,22.8,tests performed,664666,452806,211860,11416,8796,50.11,34.13,15.97,6631,,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
ISR,Asia,Israel,26/05/2021,839408,19,26.714,6406,0,1.571,96979.264,2.195,3.086,740.104,0,0.182,0.65,38,4.39,107,12.362,,,,,28735,16821751,1943.466,3.32,25342,2.928,0.001,948.6,tests performed,10571792,5447339,5124453,3485,3805,122.14,62.93,59.2,440,43.52,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
NLD,Europe,Netherlands,26/05/2021,1661364,2777,3346.286,17850,10,13.143,96958.057,162.067,195.291,1041.735,0.584,0.767,0.68,,,,,,,,,,,,,,,,,,,,,,113545,,,,6627,62.04,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
BEL,Europe,Belgium,26/05/2021,1052652,1975,2019.714,24889,16,17.286,90827.168,170.411,174.269,2147.526,1.381,1.491,0.84,,,,,,,,,62009,13796638,1190.431,5.35,44451,3.835,0.05,20,tests performed,6310301,4494771,1877234,113860,90575,54.45,38.78,16.2,7815,,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
PAN,North America,Panama,26/05/2021,375600,663,482.714,6357,4,7.429,87049.872,153.658,111.875,1473.312,0.927,1.722,1.12,,,,,,,,,10129,2607020,604.209,2.348,8906,2.064,0.054,18.4,tests performed,987818,646405,341413,19214,17785,22.89,14.98,7.91,4122,,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
HRV,Europe,Croatia,26/05/2021,354921,538,417.714,7971,21,25.571,86455.013,131.051,101.751,1941.652,5.115,6.229,0.52,,,,,,,,,6830,1988226,484.311,1.664,6029,1.469,0.069,14.4,people tested,1645332,1221109,424223,37041,27880,40.08,29.74,10.33,6791,,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851
GEO,Asia,Georgia,26/05/2021,340330,1015,961.286,4682,28,23.286,85313.379,254.439,240.974,1173.676,7.019,5.837,0.79,,,,,,,,,,,,,24714,6.195,0.039,25.7,tests performed,138781,121263,17518,4563,3731,3.48,3.04,0.44,935,64.81,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
FRA,Europe,France,26/05/2021,5683143,12657,9796.429,109185,145,120.429,84114.645,187.333,144.994,1616.017,2.146,1.782,0.79,,,,,,,,,,,,,,,,,,34297425,24170575,10344577,583724,478153,50.76,35.77,15.31,7077,,67564251,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
HUN,Europe,Hungary,26/05/2021,802723,213,447.857,29622,41,41.857,83094.608,22.049,46.36,3066.349,4.244,4.333,0.51,,,,,,,,,6240,5305763,549.231,0.646,12258,1.269,0.037,27.4,tests performed,8384309,5056262,3328047,147483,105701,86.79,52.34,34.45,10942,,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
